date,tmax,tmin,tmean,precip,windspeed,rh_max
2024-11-15,14.9,3.5,8.6,0.0,14.8,59
2024-11-16,16.5,6.5,10.8,0.0,17.1,54
2024-11-17,18.1,6.7,11.5,0.0,14.1,50
2024-11-18,17.9,8.0,12.7,0.0,14.2,59
2024-11-19,14.6,6.4,10.8,0.0,11.5,74
2024-11-20,15.8,7.7,11.8,0.0,13.2,75
2024-11-21,11.8,2.7,8.2,44.0,16.6,100
2024-11-22,4.7,2.2,3.4,15.1,25.1,99
2024-11-23,8.8,2.5,5.9,0.7,26.0,96
2024-11-24,10.6,5.2,7.9,0.0,23.0,73
2024-11-25,10.7,3.0,6.8,0.0,11.5,83
2024-11-26,14.6,6.2,10.5,3.5,15.1,96
2024-11-27,10.2,2.8,6.1,0.0,10.2,81
2024-11-28,11.0,5.0,6.8,11.0,20.8,97
2024-11-29,7.7,1.0,3.8,0.4,18.4,88
2024-11-30,3.5,-1.9,0.4,0.0,17.2,69
2024-12-01,2.8,-3.5,-0.9,0.0,18.0,72
2024-12-02,4.0,-2.4,-0.1,0.0,10.5,73
2024-12-03,5.1,-1.8,1.0,0.0,11.6,78
2024-12-04,3.8,-2.8,0.5,0.0,15.7,89
2024-12-05,4.6,-0.1,2.1,3.2,27.8,88
2024-12-06,0.0,-2.0,-1.1,0.0,18.8,63
2024-12-07,4.7,-2.5,0.9,0.1,14.2,66
2024-12-08,11.1,1.5,5.7,0.0,20.3,72
2024-12-09,10.2,1.2,5.5,6.9,12.4,100
2024-12-10,10.8,6.3,8.2,4.8,12.5,99
2024-12-11,15.9,5.1,12.6,35.5,23.9,100
2024-12-12,4.8,-2.5,1.2,0.0,26.2,71
2024-12-13,0.2,-3.7,-2.3,0.0,12.2,62
2024-12-14,0.7,-5.4,-2.5,0.0,8.1,70
2024-12-15,3.0,-4.5,-0.8,0.2,8.6,83
2024-12-16,9.4,1.1,5.2,13.3,15.5,99
2024-12-17,14.6,7.0,10.5,2.3,16.2,97
2024-12-18,9.9,1.4,6.1,3.9,9.2,96
2024-12-19,6.3,0.9,4.2,1.3,15.4,94
2024-12-20,2.5,-1.0,0.8,1.9,14.2,89
2024-12-21,0.2,-6.9,-3.0,3.8,22.4,92
2024-12-22,-7.2,-11.9,-9.0,0.0,14.7,73
2024-12-23,-3.7,-14.4,-9.5,0.0,10.4,70
2024-12-24,1.9,-3.6,-1.4,1.9,10.0,87
2024-12-25,0.0,-5.5,-2.8,0.0,10.4,92
2024-12-26,-0.2,-7.9,-4.9,0.0,8.7,80
2024-12-27,2.5,-9.1,-3.2,0.0,5.5,90
2024-12-28,7.5,2.2,4.0,5.3,7.3,100
2024-12-29,15.4,4.6,9.7,2.5,22.7,100
2024-12-30,12.9,7.2,11.1,4.4,24.6,97
2024-12-31,9.7,1.6,6.2,8.1,17.3,94
